lbl_SanpshotDate,,,,,,,,
Report Data as of 10/25/2020,,,,,,,,
,,,,,,,,
CountyName,RegisteredPrecinctID,PrecinctName,RaceTotal3,RaceName,RaceTotal,Textbox13,RaceTotal1,RaceTotal2
County: 01-ABBEVILLE,6,Broadmouth,546,Hispanic,5,County Total,"16,629",84
County: 01-ABBEVILLE,6,Broadmouth,546,Native American,1,County Total,"16,629",12
County: 01-ABBEVILLE,6,Broadmouth,546,Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,6,Broadmouth,546,Other,1,County Total,"16,629",44
County: 01-ABBEVILLE,6,Broadmouth,546,Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",Black/AA,849,County Total,"16,629","4,603"
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",White,833,County Total,"16,629","11,827"
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",Asian,1,County Total,"16,629",30
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",Hispanic,12,County Total,"16,629",84
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",Native American,1,County Total,"16,629",12
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",Multiple,2,County Total,"16,629",23
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",Other,8,County Total,"16,629",44
County: 01-ABBEVILLE,7,Calhoun Falls,"1,706",Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,8,Cold Springs,926,Black/AA,118,County Total,"16,629","4,603"
County: 01-ABBEVILLE,8,Cold Springs,926,White,792,County Total,"16,629","11,827"
County: 01-ABBEVILLE,8,Cold Springs,926,Asian,4,County Total,"16,629",30
County: 01-ABBEVILLE,8,Cold Springs,926,Hispanic,9,County Total,"16,629",84
County: 01-ABBEVILLE,8,Cold Springs,926,Native American,,County Total,"16,629",12
County: 01-ABBEVILLE,8,Cold Springs,926,Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,8,Cold Springs,926,Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,8,Cold Springs,926,Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,9,Donalds,571,Black/AA,42,County Total,"16,629","4,603"
County: 01-ABBEVILLE,9,Donalds,571,White,516,County Total,"16,629","11,827"
County: 01-ABBEVILLE,9,Donalds,571,Asian,1,County Total,"16,629",30
County: 01-ABBEVILLE,9,Donalds,571,Hispanic,10,County Total,"16,629",84
County: 01-ABBEVILLE,9,Donalds,571,Native American,,County Total,"16,629",12
County: 01-ABBEVILLE,9,Donalds,571,Multiple,,County Total,"16,629",23
County: 01-ABBEVILLE,9,Donalds,571,Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,9,Donalds,571,Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,10,Due West,"1,550",Black/AA,328,County Total,"16,629","4,603"
County: 01-ABBEVILLE,10,Due West,"1,550",White,"1,210",County Total,"16,629","11,827"
County: 01-ABBEVILLE,10,Due West,"1,550",Asian,3,County Total,"16,629",30
County: 01-ABBEVILLE,10,Due West,"1,550",Hispanic,4,County Total,"16,629",84
County: 01-ABBEVILLE,10,Due West,"1,550",Native American,1,County Total,"16,629",12
County: 01-ABBEVILLE,10,Due West,"1,550",Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,10,Due West,"1,550",Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,10,Due West,"1,550",Unknown,1,County Total,"16,629",6
County: 01-ABBEVILLE,11,Hall's Store,665,Black/AA,175,County Total,"16,629","4,603"
County: 01-ABBEVILLE,11,Hall's Store,665,White,486,County Total,"16,629","11,827"
County: 01-ABBEVILLE,11,Hall's Store,665,Asian,1,County Total,"16,629",30
County: 01-ABBEVILLE,11,Hall's Store,665,Hispanic,2,County Total,"16,629",84
County: 01-ABBEVILLE,11,Hall's Store,665,Native American,,County Total,"16,629",12
County: 01-ABBEVILLE,11,Hall's Store,665,Multiple,,County Total,"16,629",23
County: 01-ABBEVILLE,11,Hall's Store,665,Other,1,County Total,"16,629",44
County: 01-ABBEVILLE,11,Hall's Store,665,Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,12,Keowee,"1,149",Black/AA,144,County Total,"16,629","4,603"
County: 01-ABBEVILLE,12,Keowee,"1,149",White,994,County Total,"16,629","11,827"
County: 01-ABBEVILLE,12,Keowee,"1,149",Asian,1,County Total,"16,629",30
County: 01-ABBEVILLE,12,Keowee,"1,149",Hispanic,1,County Total,"16,629",84
County: 01-ABBEVILLE,12,Keowee,"1,149",Native American,2,County Total,"16,629",12
County: 01-ABBEVILLE,12,Keowee,"1,149",Multiple,3,County Total,"16,629",23
County: 01-ABBEVILLE,12,Keowee,"1,149",Other,4,County Total,"16,629",44
County: 01-ABBEVILLE,12,Keowee,"1,149",Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,13,Lowndesville,"1,093",Black/AA,86,County Total,"16,629","4,603"
County: 01-ABBEVILLE,13,Lowndesville,"1,093",White,995,County Total,"16,629","11,827"
County: 01-ABBEVILLE,13,Lowndesville,"1,093",Asian,2,County Total,"16,629",30
County: 01-ABBEVILLE,13,Lowndesville,"1,093",Hispanic,5,County Total,"16,629",84
County: 01-ABBEVILLE,13,Lowndesville,"1,093",Native American,2,County Total,"16,629",12
County: 01-ABBEVILLE,13,Lowndesville,"1,093",Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,13,Lowndesville,"1,093",Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,13,Lowndesville,"1,093",Unknown,,County Total,"16,629",6
County: 01-ABBEVILLE,14,Lebanon,788,Black/AA,167,County Total,"16,629","4,603"
County: 01-ABBEVILLE,14,Lebanon,788,White,618,County Total,"16,629","11,827"
County: 01-ABBEVILLE,14,Lebanon,788,Asian,,County Total,"16,629",30
County: 01-ABBEVILLE,14,Lebanon,788,Hispanic,,County Total,"16,629",84
County: 01-ABBEVILLE,14,Lebanon,788,Native American,,County Total,"16,629",12
County: 01-ABBEVILLE,14,Lebanon,788,Multiple,,County Total,"16,629",23
County: 01-ABBEVILLE,14,Lebanon,788,Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,14,Lebanon,788,Unknown,1,County Total,"16,629",6
County: 01-ABBEVILLE,15,Smithville,884,Black/AA,184,County Total,"16,629","4,603"
County: 01-ABBEVILLE,15,Smithville,884,White,676,County Total,"16,629","11,827"
County: 01-ABBEVILLE,15,Smithville,884,Asian,5,County Total,"16,629",30
County: 01-ABBEVILLE,15,Smithville,884,Hispanic,15,County Total,"16,629",84
County: 01-ABBEVILLE,15,Smithville,884,Native American,,County Total,"16,629",12
County: 01-ABBEVILLE,15,Smithville,884,Multiple,1,County Total,"16,629",23
County: 01-ABBEVILLE,15,Smithville,884,Other,2,County Total,"16,629",44
County: 01-ABBEVILLE,15,Smithville,884,Unknown,1,County Total,"16,629",6
County: 02-AIKEN,1,Aiken No. 1,"1,356",Black/AA,39,County Total,"123,442","29,085"
County: 02-AIKEN,1,Aiken No. 1,"1,356",White,"1,290",County Total,"123,442","89,735"
County: 02-AIKEN,1,Aiken No. 1,"1,356",Asian,6,County Total,"123,442","1,006"
County: 02-AIKEN,1,Aiken No. 1,"1,356",Hispanic,12,County Total,"123,442","2,243"
County: 02-AIKEN,1,Aiken No. 1,"1,356",Native American,3,County Total,"123,442",245
County: 02-AIKEN,1,Aiken No. 1,"1,356",Multiple,2,County Total,"123,442",397
County: 02-AIKEN,1,Aiken No. 1,"1,356",Other,4,County Total,"123,442",629
County: 02-AIKEN,1,Aiken No. 1,"1,356",Unknown,,County Total,"123,442",102
County: 02-AIKEN,2,Aiken No. 2,"1,263",Black/AA,794,County Total,"123,442","29,085"
County: 02-AIKEN,2,Aiken No. 2,"1,263",White,441,County Total,"123,442","89,735"
County: 02-AIKEN,2,Aiken No. 2,"1,263",Asian,2,County Total,"123,442","1,006"
County: 02-AIKEN,2,Aiken No. 2,"1,263",Hispanic,15,County Total,"123,442","2,243"
County: 02-AIKEN,2,Aiken No. 2,"1,263",Native American,2,County Total,"123,442",245
County: 02-AIKEN,2,Aiken No. 2,"1,263",Multiple,2,County Total,"123,442",397
County: 02-AIKEN,2,Aiken No. 2,"1,263",Other,4,County Total,"123,442",629
County: 02-AIKEN,2,Aiken No. 2,"1,263",Unknown,3,County Total,"123,442",102
County: 02-AIKEN,3,Aiken No. 3,"1,808",Black/AA,"1,416",County Total,"123,442","29,085"
County: 02-AIKEN,3,Aiken No. 3,"1,808",White,320,County Total,"123,442","89,735"
County: 02-AIKEN,3,Aiken No. 3,"1,808",Asian,8,County Total,"123,442","1,006"
County: 02-AIKEN,3,Aiken No. 3,"1,808",Hispanic,38,County Total,"123,442","2,243"
County: 02-AIKEN,3,Aiken No. 3,"1,808",Native American,4,County Total,"123,442",245
County: 02-AIKEN,3,Aiken No. 3,"1,808",Multiple,9,County Total,"123,442",397
County: 02-AIKEN,3,Aiken No. 3,"1,808",Other,10,County Total,"123,442",629
County: 02-AIKEN,3,Aiken No. 3,"1,808",Unknown,3,County Total,"123,442",102
County: 02-AIKEN,4,Aiken No. 4,803,Black/AA,580,County Total,"123,442","29,085"
County: 02-AIKEN,4,Aiken No. 4,803,White,183,County Total,"123,442","89,735"
County: 02-AIKEN,4,Aiken No. 4,803,Asian,3,County Total,"123,442","1,006"
County: 02-AIKEN,4,Aiken No. 4,803,Hispanic,21,County Total,"123,442","2,243"
County: 02-AIKEN,4,Aiken No. 4,803,Native American,2,County Total,"123,442",245
County: 02-AIKEN,4,Aiken No. 4,803,Multiple,3,County Total,"123,442",397
County: 02-AIKEN,4,Aiken No. 4,803,Other,9,County Total,"123,442",629
County: 02-AIKEN,4,Aiken No. 4,803,Unknown,2,County Total,"123,442",102
County: 02-AIKEN,5,Aiken No. 5,"1,365",Black/AA,508,County Total,"123,442","29,085"
County: 02-AIKEN,5,Aiken No. 5,"1,365",White,826,County Total,"123,442","89,735"
County: 02-AIKEN,5,Aiken No. 5,"1,365",Asian,11,County Total,"123,442","1,006"
County: 02-AIKEN,5,Aiken No. 5,"1,365",Hispanic,7,County Total,"123,442","2,243"
County: 02-AIKEN,5,Aiken No. 5,"1,365",Native American,,County Total,"123,442",245
County: 02-AIKEN,5,Aiken No. 5,"1,365",Multiple,6,County Total,"123,442",397
County: 02-AIKEN,5,Aiken No. 5,"1,365",Other,4,County Total,"123,442",629
County: 02-AIKEN,5,Aiken No. 5,"1,365",Unknown,3,County Total,"123,442",102
County: 02-AIKEN,6,Aiken No. 6,"1,359",Black/AA,31,County Total,"123,442","29,085"
County: 02-AIKEN,6,Aiken No. 6,"1,359",White,"1,302",County Total,"123,442","89,735"
County: 02-AIKEN,6,Aiken No. 6,"1,359",Asian,10,County Total,"123,442","1,006"
County: 02-AIKEN,6,Aiken No. 6,"1,359",Hispanic,9,County Total,"123,442","2,243"
County: 02-AIKEN,6,Aiken No. 6,"1,359",Native American,1,County Total,"123,442",245
County: 02-AIKEN,6,Aiken No. 6,"1,359",Multiple,1,County Total,"123,442",397
County: 02-AIKEN,6,Aiken No. 6,"1,359",Other,4,County Total,"123,442",629
County: 02-AIKEN,6,Aiken No. 6,"1,359",Unknown,1,County Total,"123,442",102
County: 02-AIKEN,7,Bath,890,Black/AA,326,County Total,"123,442","29,085"
County: 02-AIKEN,7,Bath,890,White,537,County Total,"123,442","89,735"
County: 02-AIKEN,7,Bath,890,Asian,2,County Total,"123,442","1,006"
County: 02-AIKEN,7,Bath,890,Hispanic,17,County Total,"123,442","2,243"
County: 02-AIKEN,7,Bath,890,Native American,1,County Total,"123,442",245
County: 02-AIKEN,7,Bath,890,Multiple,4,County Total,"123,442",397
County: 02-AIKEN,7,Bath,890,Other,2,County Total,"123,442",629
County: 02-AIKEN,7,Bath,890,Unknown,1,County Total,"123,442",102
County: 02-AIKEN,8,Beech Island,"1,692",Black/AA,847,County Total,"123,442","29,085"
County: 02-AIKEN,8,Beech Island,"1,692",White,797,County Total,"123,442","89,735"
County: 02-AIKEN,8,Beech Island,"1,692",Asian,2,County Total,"123,442","1,006"
County: 02-AIKEN,8,Beech Island,"1,692",Hispanic,31,County Total,"123,442","2,243"
County: 02-AIKEN,8,Beech Island,"1,692",Native American,5,County Total,"123,442",245
County: 02-AIKEN,8,Beech Island,"1,692",Multiple,7,County Total,"123,442",397
County: 02-AIKEN,8,Beech Island,"1,692",Other,3,County Total,"123,442",629
County: 02-AIKEN,8,Beech Island,"1,692",Unknown,,County Total,"123,442",102
County: 02-AIKEN,9,Belvedere No. 9,"1,925",Black/AA,752,County Total,"123,442","29,085"
County: 02-AIKEN,9,Belvedere No. 9,"1,925",White,"1,088",County Total,"123,442","89,735"
County: 02-AIKEN,9,Belvedere No. 9,"1,925",Asian,13,County Total,"123,442","1,006"
County: 02-AIKEN,9,Belvedere No. 9,"1,925",Hispanic,37,County Total,"123,442","2,243"
County: 02-AIKEN,9,Belvedere No. 9,"1,925",Native American,3,County Total,"123,442",245
County: 02-AIKEN,9,Belvedere No. 9,"1,925",Multiple,10,County Total,"123,442",397
County: 02-AIKEN,9,Belvedere No. 9,"1,925",Other,19,County Total,"123,442",629
County: 02-AIKEN,9,Belvedere No. 9,"1,925",Unknown,3,County Total,"123,442",102
County: 02-AIKEN,10,Carolina Heights,"1,302",Black/AA,678,County Total,"123,442","29,085"
County: 02-AIKEN,10,Carolina Heights,"1,302",White,534,County Total,"123,442","89,735"
County: 02-AIKEN,10,Carolina Heights,"1,302",Asian,12,County Total,"123,442","1,006"
County: 02-AIKEN,10,Carolina Heights,"1,302",Hispanic,56,County Total,"123,442","2,243"
County: 02-AIKEN,10,Carolina Heights,"1,302",Native American,4,County Total,"123,442",245
County: 02-AIKEN,10,Carolina Heights,"1,302",Multiple,3,County Total,"123,442",397
County: 02-AIKEN,10,Carolina Heights,"1,302",Other,13,County Total,"123,442",629
County: 02-AIKEN,10,Carolina Heights,"1,302",Unknown,2,County Total,"123,442",102
County: 02-AIKEN,11,China Springs,"1,738",Black/AA,"1,063",County Total,"123,442","29,085"
County: 02-AIKEN,11,China Springs,"1,738",White,624,County Total,"123,442","89,735"
County: 02-AIKEN,11,China Springs,"1,738",Asian,6,County Total,"123,442","1,006"
County: 02-AIKEN,11,China Springs,"1,738",Hispanic,22,County Total,"123,442","2,243"
County: 02-AIKEN,11,China Springs,"1,738",Native American,2,County Total,"123,442",245
County: 02-AIKEN,11,China Springs,"1,738",Multiple,8,County Total,"123,442",397
County: 02-AIKEN,11,China Springs,"1,738",Other,10,County Total,"123,442",629
County: 02-AIKEN,11,China Springs,"1,738",Unknown,3,County Total,"123,442",102
County: 02-AIKEN,12,Clearwater,768,Black/AA,310,County Total,"123,442","29,085"
County: 02-AIKEN,12,Clearwater,768,White,420,County Total,"123,442","89,735"
County: 02-AIKEN,12,Clearwater,768,Asian,1,County Total,"123,442","1,006"
County: 02-AIKEN,12,Clearwater,768,Hispanic,24,County Total,"123,442","2,243"
County: 02-AIKEN,12,Clearwater,768,Native American,4,County Total,"123,442",245
County: 02-AIKEN,12,Clearwater,768,Multiple,4,County Total,"123,442",397
County: 02-AIKEN,12,Clearwater,768,Other,4,County Total,"123,442",629
County: 02-AIKEN,12,Clearwater,768,Unknown,1,County Total,"123,442",102
County: 02-AIKEN,13,College Acres,"1,847",Black/AA,238,County Total,"123,442","29,085"
County: 02-AIKEN,13,College Acres,"1,847",White,"1,518",County Total,"123,442","89,735"
County: 02-AIKEN,13,College Acres,"1,847",Asian,25,County Total,"123,442","1,006"
County: 02-AIKEN,13,College Acres,"1,847",Hispanic,44,County Total,"123,442","2,243"
County: 02-AIKEN,13,College Acres,"1,847",Native American,4,County Total,"123,442",245
County: 02-AIKEN,13,College Acres,"1,847",Multiple,8,County Total,"123,442",397
County: 02-AIKEN,13,College Acres,"1,847",Other,9,County Total,"123,442",629
County: 02-AIKEN,13,College Acres,"1,847",Unknown,1,County Total,"123,442",102
County: 02-AIKEN,14,Eureka,"1,650",Black/AA,297,County Total,"123,442","29,085"
County: 02-AIKEN,14,Eureka,"1,650",White,"1,294",County Total,"123,442","89,735"
County: 02-AIKEN,14,Eureka,"1,650",Asian,2,County Total,"123,442","1,006"
County: 02-AIKEN,14,Eureka,"1,650",Hispanic,45,County Total,"123,442","2,243"
County: 02-AIKEN,14,Eureka,"1,650",Native American,4,County Total,"123,442",245
County: 02-AIKEN,14,Eureka,"1,650",Multiple,5,County Total,"123,442",397
County: 02-AIKEN,14,Eureka,"1,650",Other,3,County Total,"123,442",629
County: 02-AIKEN,14,Eureka,"1,650",Unknown,,County Total,"123,442",102
County: 02-AIKEN,15,Gloverville,993,Black/AA,176,County Total,"123,442","29,085"
County: 02-AIKEN,15,Gloverville,993,White,792,County Total,"123,442","89,735"
County: 02-AIKEN,15,Gloverville,993,Asian,5,County Total,"123,442","1,006"
County: 02-AIKEN,15,Gloverville,993,Hispanic,13,County Total,"123,442","2,243"
County: 02-AIKEN,15,Gloverville,993,Native American,1,County Total,"123,442",245
County: 02-AIKEN,15,Gloverville,993,Multiple,4,County Total,"123,442",397
County: 02-AIKEN,15,Gloverville,993,Other,2,County Total,"123,442",629
County: 02-AIKEN,15,Gloverville,993,Unknown,,County Total,"123,442",102
County: 02-AIKEN,16,Graniteville,"1,137",Black/AA,389,County Total,"123,442","29,085"
County: 02-AIKEN,16,Graniteville,"1,137",White,707,County Total,"123,442","89,735"
County: 02-AIKEN,16,Graniteville,"1,137",Asian,2,County Total,"123,442","1,006"
County: 02-AIKEN,16,Graniteville,"1,137",Hispanic,30,County Total,"123,442","2,243"
County: 02-AIKEN,16,Graniteville,"1,137",Native American,3,County Total,"123,442",245
County: 02-AIKEN,16,Graniteville,"1,137",Multiple,,County Total,"123,442",397
County: 02-AIKEN,16,Graniteville,"1,137",Other,4,County Total,"123,442",629
County: 02-AIKEN,16,Graniteville,"1,137",Unknown,2,County Total,"123,442",102
County: 02-AIKEN,17,Jackson,"1,646",Black/AA,227,County Total,"123,442","29,085"
County: 02-AIKEN,17,Jackson,"1,646",White,"1,384",County Total,"123,442","89,735"
County: 02-AIKEN,17,Jackson,"1,646",Asian,8,County Total,"123,442","1,006"
County: 02-AIKEN,17,Jackson,"1,646",Hispanic,15,County Total,"123,442","2,243"
County: 02-AIKEN,17,Jackson,"1,646",Native American,4,County Total,"123,442",245
County: 02-AIKEN,17,Jackson,"1,646",Multiple,2,County Total,"123,442",397
County: 02-AIKEN,17,Jackson,"1,646",Other,5,County Total,"123,442",629
County: 02-AIKEN,17,Jackson,"1,646",Unknown,1,County Total,"123,442",102
County: 02-AIKEN,18,Langley,"1,333",Black/AA,245,County Total,"123,442","29,085"
County: 02-AIKEN,18,Langley,"1,333",White,"1,053",County Total,"123,442","89,735"
County: 02-AIKEN,18,Langley,"1,333",Asian,4,County Total,"123,442","1,006"
County: 02-AIKEN,18,Langley,"1,333",Hispanic,14,County Total,"123,442","2,243"
County: 02-AIKEN,18,Langley,"1,333",Native American,7,County Total,"123,442",245
County: 02-AIKEN,18,Langley,"1,333",Multiple,6,County Total,"123,442",397
County: 02-AIKEN,18,Langley,"1,333",Other,3,County Total,"123,442",629
County: 02-AIKEN,18,Langley,"1,333",Unknown,1,County Total,"123,442",102
County: 02-AIKEN,19,Lynwood,905,Black/AA,137,County Total,"123,442","29,085"
County: 02-AIKEN,19,Lynwood,905,White,724,County Total,"123,442","89,735"
County: 02-AIKEN,19,Lynwood,905,Asian,7,County Total,"123,442","1,006"
County: 02-AIKEN,19,Lynwood,905,Hispanic,27,County Total,"123,442","2,243"
County: 02-AIKEN,19,Lynwood,905,Native American,4,County Total,"123,442",245
County: 02-AIKEN,19,Lynwood,905,Multiple,2,County Total,"123,442",397
County: 02-AIKEN,19,Lynwood,905,Other,3,County Total,"123,442",629
County: 02-AIKEN,19,Lynwood,905,Unknown,1,County Total,"123,442",102
County: 02-AIKEN,20,Millbrook,"2,053",Black/AA,338,County Total,"123,442","29,085"
County: 02-AIKEN,20,Millbrook,"2,053",White,"1,657",County Total,"123,442","89,735"
County: 02-AIKEN,20,Millbrook,"2,053",Asian,19,County Total,"123,442","1,006"
County: 02-AIKEN,20,Millbrook,"2,053",Hispanic,23,County Total,"123,442","2,243"
County: 02-AIKEN,20,Millbrook,"2,053",Native American,1,County Total,"123,442",245
County: 02-AIKEN,20,Millbrook,"2,053",Multiple,1,County Total,"123,442",397
County: 02-AIKEN,20,Millbrook,"2,053",Other,12,County Total,"123,442",629
County: 02-AIKEN,20,Millbrook,"2,053",Unknown,2,County Total,"123,442",102
County: 02-AIKEN,21,Monetta,"1,110",Black/AA,435,County Total,"123,442","29,085"
County: 02-AIKEN,21,Monetta,"1,110",White,638,County Total,"123,442","89,735"
County: 02-AIKEN,21,Monetta,"1,110",Asian,1,County Total,"123,442","1,006"
County: 02-AIKEN,21,Monetta,"1,110",Hispanic,29,County Total,"123,442","2,243"
County: 02-AIKEN,21,Monetta,"1,110",Native American,1,County Total,"123,442",245
County: 02-AIKEN,21,Monetta,"1,110",Multiple,1,County Total,"123,442",397
County: 02-AIKEN,21,Monetta,"1,110",Other,4,County Total,"123,442",629
County: 02-AIKEN,21,Monetta,"1,110",Unknown,1,County Total,"123,442",102
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",Black/AA,405,County Total,"123,442","29,085"
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",White,"1,471",County Total,"123,442","89,735"
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",Asian,40,County Total,"123,442","1,006"
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",Hispanic,51,County Total,"123,442","2,243"
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",Native American,5,County Total,"123,442",245
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",Multiple,8,County Total,"123,442",397
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",Other,7,County Total,"123,442",629
County: 02-AIKEN,22,Montmorenci No. 22,"1,989",Unknown,2,County Total,"123,442",102
County: 02-AIKEN,23,New Ellenton,"1,629",Black/AA,633,County Total,"123,442","29,085"
County: 02-AIKEN,23,New Ellenton,"1,629",White,946,County Total,"123,442","89,735"
County: 02-AIKEN,23,New Ellenton,"1,629",Asian,9,County Total,"123,442","1,006"
County: 02-AIKEN,23,New Ellenton,"1,629",Hispanic,23,County Total,"123,442","2,243"
County: 02-AIKEN,23,New Ellenton,"1,629",Native American,2,County Total,"123,442",245
County: 02-AIKEN,23,New Ellenton,"1,629",Multiple,9,County Total,"123,442",397
County: 02-AIKEN,23,New Ellenton,"1,629",Other,6,County Total,"123,442",629
County: 02-AIKEN,23,New Ellenton,"1,629",Unknown,1,County Total,"123,442",102
County: 02-AIKEN,24,New Holland,793,Black/AA,91,County Total,"123,442","29,085"
